date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:39:24	27703/27703	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Jan%202026%2000:39:31%20GMT	https://undangandigitalbali.com/tema/6/?untuk=Nama+Tamu	C:/My%20Web%20Sites/Wedding%20Januari%202/undangandigitalbali.com/tema/6/index55bc.html	(from )
08:39:24	101/101	---M--	200	added ('OK')	text/plain	date:Mon,%2019%20Jul%202021%2000:17:49%20GMT	https://undangandigitalbali.com/robots.txt		(from )
08:39:24	169335/169335	---M--	200	added ('OK')	image/jpeg	date:Thu,%2010%20Apr%202025%2008:07:12%20GMT	https://undangandigitalbali.com/tema/6/assets/img/thumb.jpg	C:/My%20Web%20Sites/Wedding%20Januari%202/undangandigitalbali.com/tema/6/assets/img/thumb.jpg	(from https://undangandigitalbali.com/tema/6/?untuk=Nama+Tamu)
08:39:24	27695/27695	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Jan%202026%2000:39:32%20GMT	https://undangandigitalbali.com/tema/6/	C:/My%20Web%20Sites/Wedding%20Januari%202/undangandigitalbali.com/tema/6/index.html	(from https://undangandigitalbali.com/tema/6/?untuk=Nama+Tamu)
08:39:24	4974/4974	---MC-	200	added ('OK')	text/css	date:Fri,%2002%20Jan%202026%2000:39:32%20GMT	https://fonts.googleapis.com/css2?family=DM+Sans&family=Gilda+Display&family=Great+Vibes&family=Playfair+Display&family=Work+Sans:ital,wght@0,100..900;1,100..900&display=swap	C:/My%20Web%20Sites/Wedding%20Januari%202/fonts.googleapis.com/css219e3.css	(from https://undangandigitalbali.com/tema/6/?untuk=Nama+Tamu)
08:39:25	160358/160358	---M-Z	200	added ('OK')	text/css	date:Sun,%2027%20Jul%202025%2008:23:44%20GMT	https://undangandigitalbali.com/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/Wedding%20Januari%202/undangandigitalbali.com/assets/css/bootstrap.min.css	(from https://undangandigitalbali.com/tema/6/?untuk=Nama+Tamu)
08:39:25	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Jan%202026%2000:39:33%20GMT	https://fonts.gstatic.com/	C:/My%20Web%20Sites/Wedding%20Januari%202/fonts.gstatic.com/index.html	(from https://undangandigitalbali.com/tema/6/?untuk=Nama+Tamu)
08:39:25	1621/1621	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Jan%202026%2000:39:33%20GMT	https://fonts.googleapis.com/	C:/My%20Web%20Sites/Wedding%20Januari%202/fonts.googleapis.com/index.html	(from https://undangandigitalbali.com/tema/6/?untuk=Nama+Tamu)
08:39:25	26053/26053	---MCZ	200	added ('OK')	text/css	date:Thu,%2018%20Dec%202025%2021:31:03%20GMT	https://unpkg.com/aos@2.3.1/dist/aos.css	C:/My%20Web%20Sites/Wedding%20Januari%202/unpkg.com/aos@2.3.1/dist/aos.css	(from https://undangandigitalbali.com/tema/6/?untuk=Nama+Tamu)
08:39:25	1776/1776	---M-Z	200	added ('OK')	text/css	date:Sun,%2027%20Jul%202025%2008:23:44%20GMT	https://undangandigitalbali.com/assets/css/slick.css	C:/My%20Web%20Sites/Wedding%20Januari%202/undangandigitalbali.com/assets/css/slick.css	(from https://undangandigitalbali.com/tema/6/?untuk=Nama+Tamu)
08:39:25	6951/6951	---M-Z	200	added ('OK')	text/css	date:Sun,%2027%20Jul%202025%2008:23:44%20GMT	https://undangandigitalbali.com/assets/css/magnific-popup.css	C:/My%20Web%20Sites/Wedding%20Januari%202/undangandigitalbali.com/assets/css/magnific-popup.css	(from https://undangandigitalbali.com/tema/6/?untuk=Nama+Tamu)
